name,region,url_jsdelivr,url_raw
apfm1000,default,https://cdn.jsdelivr.net/gh/CkauNui/ckau-book-addons-Colorful-4K-Images@main/ckau-book-addons/_inc/anim/4K/apfm1000.png,https://raw.githubusercontent.com/CkauNui/ckau-book-addons-Colorful-4K-Images/main/ckau-book-addons/_inc/anim/4K/apfm1000.png
apogeebk01,default,https://cdn.jsdelivr.net/gh/CkauNui/ckau-book-addons-Colorful-4K-Images@main/ckau-book-addons/_inc/anim/4K/apogeebk01.png,https://raw.githubusercontent.com/CkauNui/ckau-book-addons-Colorful-4K-Images/main/ckau-book-addons/_inc/anim/4K/apogeebk01.png
apple2,default,https://cdn.jsdelivr.net/gh/CkauNui/ckau-book-addons-Colorful-4K-Images@main/ckau-book-addons/_inc/anim/4K/apple2.png,https://raw.githubusercontent.com/CkauNui/ckau-book-addons-Colorful-4K-Images/main/ckau-book-addons/_inc/anim/4K/apple2.png
apple2gs,default,https://cdn.jsdelivr.net/gh/CkauNui/ckau-book-addons-Colorful-4K-Images@main/ckau-book-addons/_inc/anim/4K/apple2gs.png,https://raw.githubusercontent.com/CkauNui/ckau-book-addons-Colorful-4K-Images/main/ckau-book-addons/_inc/anim/4K/apple2gs.png
appleios,default,https://cdn.jsdelivr.net/gh/CkauNui/ckau-book-addons-Colorful-4K-Images@main/ckau-book-addons/_inc/anim/4K/appleios.png,https://raw.githubusercontent.com/CkauNui/ckau-book-addons-Colorful-4K-Images/main/ckau-book-addons/_inc/anim/4K/appleios.png
aquarius,default,https://cdn.jsdelivr.net/gh/CkauNui/ckau-book-addons-Colorful-4K-Images@main/ckau-book-addons/_inc/anim/4K/aquarius.png,https://raw.githubusercontent.com/CkauNui/ckau-book-addons-Colorful-4K-Images/main/ckau-book-addons/_inc/anim/4K/aquarius.png
arcade,default,https://cdn.jsdelivr.net/gh/CkauNui/ckau-book-addons-Colorful-4K-Images@main/ckau-book-addons/_inc/anim/4K/arcade.png,https://raw.githubusercontent.com/CkauNui/ckau-book-addons-Colorful-4K-Images/main/ckau-book-addons/_inc/anim/4K/arcade.png
arcadepc,default,https://cdn.jsdelivr.net/gh/CkauNui/ckau-book-addons-Colorful-4K-Images@main/ckau-book-addons/_inc/anim/4K/arcadepc.png,https://raw.githubusercontent.com/CkauNui/ckau-book-addons-Colorful-4K-Images/main/ckau-book-addons/_inc/anim/4K/arcadepc.png
arcadia,default,https://cdn.jsdelivr.net/gh/CkauNui/ckau-book-addons-Colorful-4K-Images@main/ckau-book-addons/_inc/anim/4K/arcadia.png,https://raw.githubusercontent.com/CkauNui/ckau-book-addons-Colorful-4K-Images/main/ckau-book-addons/_inc/anim/4K/arcadia.png
archimedes,default,https://cdn.jsdelivr.net/gh/CkauNui/ckau-book-addons-Colorful-4K-Images@main/ckau-book-addons/_inc/anim/4K/archimedes.png,https://raw.githubusercontent.com/CkauNui/ckau-book-addons-Colorful-4K-Images/main/ckau-book-addons/_inc/anim/4K/archimedes.png
arduboy,default,https://cdn.jsdelivr.net/gh/CkauNui/ckau-book-addons-Colorful-4K-Images@main/ckau-book-addons/_inc/anim/4K/arduboy.png,https://raw.githubusercontent.com/CkauNui/ckau-book-addons-Colorful-4K-Images/main/ckau-book-addons/_inc/anim/4K/arduboy.png
